utc,feed,error
2026-07-23T14:39:59Z,tomtom:hatziiosif:ba,"tomtom [35.127394, 33.356469]->[35.145493, 33.359842]: UnicodeEncodeError: 'ascii' codec can't encode character '\ufeff' in position 79: ordinal not in range(128)"
2026-07-23T14:39:59Z,tomtom:perikleous:ab,"tomtom [35.141783, 33.358663]->[35.144587, 33.344631]: UnicodeEncodeError: 'ascii' codec can't encode character '\ufeff' in position 79: ordinal not in range(128)"
2026-07-23T14:39:59Z,tomtom:perikleous:ba,"tomtom [35.144587, 33.344631]->[35.141783, 33.358663]: UnicodeEncodeError: 'ascii' codec can't encode character '\ufeff' in position 79: ordinal not in range(128)"
2026-07-23T14:39:59Z,tomtom:avraamidi:ab,"tomtom [35.141783, 33.358663]->[35.141938, 33.369639]: UnicodeEncodeError: 'ascii' codec can't encode character '\ufeff' in position 79: ordinal not in range(128)"
2026-07-23T14:39:59Z,tomtom:avraamidi:ba,"tomtom [35.141938, 33.369639]->[35.141783, 33.358663]: UnicodeEncodeError: 'ascii' codec can't encode character '\ufeff' in position 79: ordinal not in range(128)"
2026-07-23T14:39:59Z,tomtom:athinon:ab,"tomtom [35.143831, 33.34371]->[35.136006, 33.34964]: UnicodeEncodeError: 'ascii' codec can't encode character '\ufeff' in position 77: ordinal not in range(128)"
2026-07-23T14:39:59Z,tomtom:athinon:ba,"tomtom [35.136006, 33.34964]->[35.143831, 33.34371]: UnicodeEncodeError: 'ascii' codec can't encode character '\ufeff' in position 77: ordinal not in range(128)"
2026-07-23T14:39:59Z,tomtom:tasou_markou:ab,"tomtom [35.136095, 33.369813]->[35.13909, 33.366402]: UnicodeEncodeError: 'ascii' codec can't encode character '\ufeff' in position 78: ordinal not in range(128)"
2026-07-23T14:39:59Z,tomtom:tasou_markou:ba,"tomtom [35.13909, 33.366402]->[35.136095, 33.369813]: UnicodeEncodeError: 'ascii' codec can't encode character '\ufeff' in position 78: ordinal not in range(128)"
2026-07-23T14:39:59Z,tomtom:peiraios:ab,"tomtom [35.142737, 33.351744]->[35.147838, 33.353557]: UnicodeEncodeError: 'ascii' codec can't encode character '\ufeff' in position 79: ordinal not in range(128)"
2026-07-23T14:39:59Z,tomtom:peiraios:ba,"tomtom [35.147838, 33.353557]->[35.142737, 33.351744]: UnicodeEncodeError: 'ascii' codec can't encode character '\ufeff' in position 79: ordinal not in range(128)"
