geom_hash,street_from,street_to,n_points,wkt
d7fa998be72c,Strovolos,Strovolos,20,"LINESTRING(33.366866 35.109039, 33.365408 35.112536, 33.364782 35.114040, 33.363596 35.116951, 33.363220 35.117881, 33.362986 35.118553, 33.362772 35.119395, 33.362707 35.119803, 33.362654 35.120212, 33.362617 35.120661, 33.362606 35.121069, 33.362616 35.121625, 33.362639 35.122025, 33.362688 35.122449, 33.362755 35.122805, 33.362849 35.123239, 33.362938 35.123561, 33.363049 35.123968, 33.363137 35.124228, 33.363322 35.124720)"
662a8296a2f3,Strovolos,Lemesou Ave,34,"LINESTRING(33.363322 35.124720, 33.363657 35.125475, 33.363955 35.126034, 33.364254 35.126506, 33.364519 35.126916, 33.365130 35.127679, 33.365610 35.128174, 33.366167 35.128686, 33.366512 35.128953, 33.367293 35.129495, 33.367804 35.129805, 33.369212 35.130593, 33.369892 35.130982, 33.370472 35.131338, 33.370830 35.131568, 33.371159 35.131814, 33.371526 35.132120, 33.372000 35.132536, 33.372279 35.132812, 33.372644 35.133198, 33.372996 35.133629, 33.373433 35.134231, 33.373682 35.134629, 33.373990 35.135187, 33.374268 35.135831, 33.374465 35.136385, 33.374573 35.136782, 33.374645 35.137118, 33.374705 35.137420, 33.374752 35.137738, 33.374779 35.138146, 33.374789 35.138633, 33.374766 35.139610, 33.374763 35.140077)"
b5400a961924,Strovolou Ave,Strovolou Ave,6,"LINESTRING(33.344362 35.144375, 33.344417 35.144471, 33.344497 35.144604, 33.344638 35.144921, 33.344893 35.145562, 33.345147 35.146286)"
def202a60274,Strovolou Ave,Strovolou Ave,7,"LINESTRING(33.345147 35.146286, 33.345497 35.147272, 33.345804 35.147968, 33.345878 35.148114, 33.346089 35.148516, 33.346265 35.148789, 33.346776 35.149817)"
8c8b5efc93bd,Strovolou Ave,E902 - Proedrikou Megarou Ave,21,"LINESTRING(33.346776 35.149817, 33.347070 35.150408, 33.347101 35.150555, 33.347253 35.150881, 33.347460 35.151325, 33.347529 35.151546, 33.347563 35.151727, 33.347567 35.151905, 33.347573 35.152024, 33.347573 35.152283, 33.347574 35.152657, 33.347611 35.152808, 33.347637 35.153150, 33.347705 35.153459, 33.347796 35.153663, 33.347845 35.153738, 33.347909 35.153822, 33.347969 35.153892, 33.348089 35.153992, 33.348241 35.154083, 33.349265 35.154632)"
fa250bca0f31,Mesa Geitonia,Strovolos,550,"LINESTRING(33.040506 34.705412, 33.045372 34.705324, 33.046203 34.705316, 33.047024 34.705325, 33.047609 34.705329, 33.048564 34.705378, 33.049284 34.705426, 33.050087 34.705497, 33.051015 34.705598, 33.051957 34.705717, 33.052839 34.705839, 33.053700 34.705974, 33.056391 34.706396, 33.065487 34.707855, 33.078057 34.709879, 33.078648 34.709938, 33.079191 34.709967, 33.079667 34.709962, 33.080153 34.709933, 33.080602 34.709881, 33.081153 34.709779, 33.081677 34.709669, 33.082354 34.709489, 33.086634 34.708182, 33.089882 34.707217, 33.091279 34.706861, 33.092127 34.706695, 33.092795 34.706578, 33.093479 34.706483, 33.094115 34.706407, 33.094951 34.706330, 33.095364 34.706302, 33.096201 34.706258, 33.097301 34.706240, 33.098111 34.706247, 33.099031 34.706285, 33.099889 34.706351, 33.100790 34.706459, 33.101917 34.706637, 33.107620 34.707678, 33.110419 34.708189, 33.117268 34.709426, 33.120002 34.709935, 33.121277 34.710206, 33.122343 34.710461, 33.123385 34.710756, 33.124094 34.710975, 33.126788 34.711986, 33.128234 34.712557, 33.131064 34.713663, 33.132842 34.714309, 33.134647 34.714928, 33.136012 34.715378, 33.137548 34.715836, 33.139985 34.716543, 33.143648 34.717562, 33.145041 34.717922, 33.145934 34.718111, 33.146362 34.718183, 33.147633 34.718335, 33.148289 34.718390, 33.148977 34.718427, 33.149827 34.718435, 33.150691 34.718400, 33.151388 34.718351, 33.152439 34.718209, 33.153377 34.718036, 33.154842 34.717710, 33.158899 34.716572, 33.159974 34.716338, 33.160665 34.716224, 33.162051 34.716033, 33.162398 34.715993, 33.163452 34.715903, 33.164505 34.715858, 33.165492 34.715863, 33.166850 34.715913, 33.167712 34.715979, 33.168712 34.716113, 33.169689 34.716269, 33.170859 34.716517, 33.172343 34.716862, 33.193938 34.721796, 33.194620 34.721930, 33.195416 34.722028, 33.196279 34.722067, 33.197513 34.722071, 33.200350 34.722033, 33.200935 34.722041, 33.201353 34.722058, 33.201773 34.722109, 33.202322 34.722198, 33.202822 34.722300, 33.203250 34.722430, 33.204068 34.722741, 33.204217 34.722812, 33.204502 34.722942, 33.204888 34.723163, 33.205369 34.723484, 33.205564 34.723641, 33.205889 34.723917, 33.206422 34.724427, 33.206694 34.724724, 33.206923 34.725016, 33.207121 34.725326, 33.207404 34.725841, 33.208600 34.728221, 33.208831 34.728642, 33.209144 34.729141, 33.209536 34.729676, 33.209897 34.730122, 33.210076 34.730316, 33.210343 34.730578, 33.210918 34.731110, 33.211619 34.731640, 33.211965 34.731879, 33.212407 34.732154, 33.212801 34.732371, 33.213145 34.732547, 33.213862 34.732838, 33.214642 34.733123, 33.215473 34.733358, 33.216244 34.733532, 33.216979 34.733661, 33.217689 34.733730, 33.218395 34.733765, 33.219098 34.733757, 33.220012 34.733700, 33.226793 34.733059, 33.228000 34.732918, 33.228802 34.732780, 33.229577 34.732607, 33.230227 34.732443, 33.230924 34.732237, 33.231699 34.731965, 33.232489 34.731662, 33.233157 34.731365, 33.240090 34.727971, 33.242061 34.726958, 33.242954 34.726518, 33.243708 34.726176, 33.244448 34.725857, 33.245169 34.725564, 33.245987 34.725249, 33.257740 34.720992, 33.258805 34.720716, 33.259467 34.720600, 33.260258 34.720497, 33.261062 34.720438, 33.261675 34.720426, 33.262304 34.720449, 33.262928 34.720510, 33.263908 34.720649, 33.264690 34.720807, 33.265257 34.720958, 33.265802 34.721135, 33.266333 34.721340, 33.266809 34.721545, 33.267263 34.721773, 33.267737 34.722034, 33.268616 34.722619, 33.269875 34.723489, 33.278594 34.729590, 33.279823 34.730494, 33.280448 34.731014, 33.281120 34.731625, 33.281536 34.732057, 33.281903 34.732481, 33.282432 34.733145, 33.282860 34.733750, 33.283195 34.734295, 33.283521 34.734879, 33.285797 34.739723, 33.286014 34.740150, 33.286513 34.741010, 33.286794 34.741416, 33.287156 34.741892, 33.287748 34.742553, 33.288275 34.743074, 33.288511 34.743284, 33.289074 34.743744, 33.289645 34.744163, 33.290398 34.744648, 33.290959 34.744976, 33.291676 34.745336, 33.292433 34.745666, 33.293342 34.746029, 33.295493 34.746857, 33.298952 34.748216, 33.305871 34.750906, 33.311900 34.753307, 33.317517 34.755483, 33.318323 34.755831, 33.319781 34.756481, 33.321556 34.757377, 33.322106 34.757704, 33.322625 34.758026, 33.323462 34.758586, 33.324536 34.759372, 33.325291 34.759990, 33.326509 34.761071, 33.329610 34.763922, 33.332642 34.766732, 33.334055 34.768018, 33.334439 34.768405, 33.334854 34.768843, 33.335330 34.769422, 33.335732 34.769966, 33.336426 34.771100, 33.336809 34.771775, 33.337854 34.773861, 33.338103 34.774320, 33.338323 34.774674, 33.338833 34.775347, 33.339332 34.775926, 33.339825 34.776444, 33.342047 34.778459, 33.342604 34.779007, 33.343014 34.779503, 33.343394 34.780069, 33.343702 34.780656, 33.343885 34.781145, 33.344017 34.781604, 33.344096 34.782063, 33.344174 34.782707, 33.344156 34.783289, 33.343892 34.787138, 33.343847 34.788123, 33.343887 34.789107, 33.343937 34.789700, 33.344017 34.790190, 33.344117 34.790616, 33.344270 34.791150, 33.344439 34.791622, 33.344624 34.792082, 33.344927 34.792703, 33.346192 34.794942, 33.346840 34.796110, 33.347212 34.796815, 33.347307 34.797006, 33.347616 34.797707, 33.347877 34.798416, 33.348065 34.799048, 33.348276 34.800029, 33.348382 34.800936, 33.348608 34.804268, 33.348661 34.804856, 33.348709 34.805251, 33.348824 34.805835, 33.348990 34.806458, 33.349192 34.807050, 33.349317 34.807374, 33.349567 34.807903, 33.349965 34.808634, 33.350490 34.809423, 33.350822 34.809856, 33.351388 34.810486, 33.352037 34.811103, 33.352497 34.811496, 33.352758 34.811704, 33.353236 34.812059, 33.353819 34.812449, 33.354555 34.812875, 33.358303 34.814881, 33.361881 34.816840, 33.363840 34.817871, 33.365280 34.818621, 33.371033 34.821718, 33.372215 34.822424, 33.373026 34.822972, 33.373787 34.823542, 33.374688 34.824324, 33.375185 34.824799, 33.375665 34.825301, 33.378836 34.828699, 33.379462 34.829339, 33.380148 34.829980, 33.380607 34.830392, 33.381222 34.830893, 33.381779 34.831343, 33.382654 34.831976, 33.383441 34.832507, 33.384235 34.833000, 33.384981 34.833433, 33.385623 34.833769, 33.386474 34.834170, 33.387318 34.834542, 33.387829 34.834754, 33.388424 34.834974, 33.399390 34.838992, 33.400869 34.839532, 33.401497 34.839805, 33.402199 34.840181, 33.402761 34.840583, 33.403165 34.840967, 33.403519 34.841350, 33.403657 34.841529, 33.404088 34.842175, 33.404390 34.842741, 33.404566 34.843272, 33.404669 34.843763, 33.404689 34.844218, 33.404669 34.844633, 33.404628 34.845022, 33.404567 34.845403, 33.404466 34.845737, 33.404348 34.846057, 33.404177 34.846466, 33.404011 34.846774, 33.403814 34.847094, 33.403612 34.847360, 33.403356 34.847663, 33.403112 34.847917, 33.402714 34.848247, 33.402364 34.848506, 33.399512 34.850396, 33.398426 34.851143, 33.398034 34.851440, 33.397660 34.851758, 33.397118 34.852259, 33.396745 34.852643, 33.396574 34.852835, 33.396088 34.853445, 33.395744 34.853931, 33.395558 34.854227, 33.395113 34.855045, 33.394833 34.855671, 33.394623 34.856258, 33.394531 34.856554, 33.394455 34.856845, 33.394374 34.857215, 33.394309 34.857583, 33.394241 34.858138, 33.394210 34.859006, 33.394233 34.859531, 33.394260 34.859830, 33.395682 34.873509, 33.395829 34.874824, 33.396141 34.877931, 33.396391 34.880262, 33.396559 34.881451, 33.396715 34.882275, 33.396814 34.882689, 33.397013 34.883397, 33.397247 34.884111, 33.397484 34.884722, 33.397737 34.885332, 33.399433 34.889285, 33.399603 34.889741, 33.399721 34.890206, 33.399771 34.890451, 33.399821 34.890804, 33.399839 34.891115, 33.399848 34.891595, 33.399808 34.892047, 33.399744 34.892432, 33.399636 34.892863, 33.399085 34.894726, 33.398887 34.895407, 33.398748 34.896010, 33.398689 34.896451, 33.398665 34.896921, 33.398666 34.897332, 33.398694 34.897741, 33.398755 34.898161, 33.398842 34.898599, 33.398941 34.898925, 33.399096 34.899339, 33.399344 34.899902, 33.403050 34.907906, 33.403678 34.909297, 33.403973 34.910014, 33.404215 34.910636, 33.404481 34.911358, 33.404852 34.912452, 33.405156 34.913519, 33.405339 34.914218, 33.405891 34.916656, 33.407259 34.922691, 33.407760 34.924855, 33.408210 34.926873, 33.410964 34.938679, 33.411196 34.939837, 33.411302 34.940588, 33.411377 34.941248, 33.411428 34.941883, 33.411448 34.942276, 33.411453 34.943043, 33.411437 34.943665, 33.411375 34.944598, 33.411265 34.945527, 33.411183 34.946067, 33.411070 34.946663, 33.410891 34.947452, 33.410733 34.948060, 33.410556 34.948641, 33.410370 34.949151, 33.409851 34.950501, 33.409013 34.952779, 33.408820 34.953356, 33.408741 34.953649, 33.408664 34.953989, 33.408614 34.954298, 33.408569 34.954656, 33.408546 34.955046, 33.408534 34.955460, 33.408549 34.955832, 33.408585 34.956217, 33.408687 34.956835, 33.408831 34.957452, 33.408984 34.957942, 33.409177 34.958438, 33.409329 34.958766, 33.409626 34.959338, 33.410931 34.961686, 33.411101 34.962011, 33.411289 34.962449, 33.411480 34.962997, 33.411641 34.963602, 33.411741 34.964148, 33.411800 34.964688, 33.411818 34.965213, 33.411774 34.966518, 33.411209 34.978768, 33.411148 34.979484, 33.411043 34.980087, 33.410924 34.980584, 33.410787 34.980999, 33.410656 34.981342, 33.410500 34.981694, 33.410236 34.982236, 33.409974 34.982682, 33.404673 34.991034, 33.403682 34.992604, 33.402990 34.993713, 33.402593 34.994264, 33.402274 34.994680, 33.401918 34.995101, 33.401648 34.995390, 33.401216 34.995821, 33.400714 34.996260, 33.400090 34.996770, 33.399570 34.997167, 33.395946 34.999740, 33.392638 35.002125, 33.391901 35.002706, 33.390893 35.003517, 33.389848 35.004456, 33.388986 35.005267, 33.388042 35.006254, 33.386779 35.007735, 33.386248 35.008407, 33.385654 35.009180, 33.385054 35.010053, 33.384533 35.010883, 33.384056 35.011702, 33.383710 35.012335, 33.383288 35.013172, 33.382889 35.014017, 33.382647 35.014567, 33.382436 35.015101, 33.382119 35.015994, 33.381868 35.016744, 33.381645 35.017495, 33.381449 35.018213, 33.381220 35.019221, 33.381001 35.020416, 33.380901 35.021031, 33.380769 35.022342, 33.380719 35.023450, 33.380709 35.024456, 33.380722 35.025074, 33.380779 35.025979, 33.380852 35.026868, 33.380943 35.027616, 33.381030 35.028251, 33.381179 35.029046, 33.383703 35.040431, 33.384010 35.041795, 33.384634 35.044624, 33.385185 35.047282, 33.385449 35.048552, 33.385541 35.049212, 33.385615 35.049996, 33.385650 35.050805, 33.385649 35.051729, 33.385566 35.052848, 33.385481 35.053514, 33.385209 35.054911, 33.385106 35.055330, 33.385029 35.055667, 33.384818 35.056384, 33.384538 35.057172, 33.384335 35.057681, 33.384001 35.058467, 33.383661 35.059130, 33.383268 35.059855, 33.382777 35.060659, 33.382211 35.061493, 33.381803 35.062015, 33.381479 35.062400, 33.381098 35.062843, 33.380270 35.063788, 33.379362 35.064836, 33.378866 35.065464, 33.378531 35.065943, 33.378137 35.066604, 33.377844 35.067157, 33.377581 35.067737, 33.377316 35.068501, 33.377112 35.069315, 33.376981 35.070092, 33.376927 35.070621, 33.376911 35.071183, 33.376953 35.074093, 33.376962 35.074695, 33.376982 35.077263, 33.376984 35.077602, 33.377002 35.080272, 33.376935 35.081410, 33.376841 35.082550, 33.376772 35.083113, 33.376546 35.084353, 33.376333 35.085301, 33.376098 35.086127, 33.375859 35.086913, 33.375484 35.087980, 33.374752 35.089831, 33.368783 35.104320, 33.368232 35.105675, 33.366866 35.109039, 33.365408 35.112536, 33.364782 35.114040, 33.363596 35.116951, 33.363220 35.117881, 33.362986 35.118553, 33.362772 35.119395, 33.362707 35.119803, 33.362654 35.120212, 33.362617 35.120661, 33.362606 35.121069, 33.362616 35.121625, 33.362639 35.122025, 33.362688 35.122449, 33.362755 35.122805, 33.362849 35.123239, 33.362938 35.123561, 33.363049 35.123968, 33.363137 35.124228, 33.363322 35.124720)"
df567d5dbf59,E110,E110 - Agias Fylaxeos,78,"LINESTRING(33.005414 34.745859, 33.005545 34.745547, 33.005757 34.744912, 33.005963 34.744128, 33.006150 34.743309, 33.006346 34.742539, 33.006495 34.742129, 33.006854 34.741458, 33.007063 34.741173, 33.007144 34.741062, 33.007333 34.740783, 33.007401 34.740654, 33.007531 34.740344, 33.007589 34.740162, 33.007635 34.739796, 33.007666 34.739365, 33.007716 34.738798, 33.007803 34.738383, 33.007914 34.737944, 33.008012 34.737635, 33.008313 34.736924, 33.008628 34.736362, 33.009076 34.735722, 33.009920 34.734756, 33.010364 34.734123, 33.010721 34.733269, 33.011301 34.732371, 33.012267 34.731604, 33.013104 34.731022, 33.013340 34.730688, 33.013987 34.728562, 33.014306 34.728109, 33.015493 34.727179, 33.015754 34.726915, 33.016526 34.725533, 33.016703 34.725063, 33.016712 34.724726, 33.016660 34.724419, 33.016601 34.723945, 33.016565 34.723473, 33.016599 34.722889, 33.016841 34.721838, 33.017391 34.720224, 33.017636 34.719693, 33.017767 34.719462, 33.017927 34.719250, 33.018118 34.719057, 33.018290 34.718920, 33.018437 34.718824, 33.018906 34.718530, 33.020306 34.717911, 33.020636 34.717737, 33.021747 34.716763, 33.021952 34.716600, 33.022457 34.716382, 33.022636 34.716272, 33.022763 34.716077, 33.022825 34.715854, 33.023003 34.715083, 33.023130 34.714790, 33.023187 34.714557, 33.023175 34.714417, 33.023112 34.714244, 33.023042 34.714083, 33.022958 34.713958, 33.022910 34.713862, 33.022910 34.713739, 33.022961 34.713545, 33.023065 34.713244, 33.023118 34.713100, 33.023196 34.712729, 33.023267 34.712370, 33.023350 34.712137, 33.023623 34.711548, 33.023773 34.711211, 33.024041 34.710685, 33.024402 34.709905, 33.024439 34.709777)"
883ce04f7136,E110 - 1 Apriliou,,21,"LINESTRING(33.024439 34.709777, 33.024463 34.709625, 33.024481 34.708953, 33.024473 34.708689, 33.024478 34.708498, 33.024560 34.708191, 33.024613 34.708079, 33.024677 34.707943, 33.024760 34.707784, 33.024827 34.707657, 33.025149 34.707127, 33.025688 34.706304, 33.025848 34.706139, 33.026043 34.705909, 33.026273 34.705724, 33.026654 34.705478, 33.026760 34.705389, 33.026856 34.705278, 33.026932 34.705140, 33.027040 34.705020, 33.027167 34.704933)"
a9a39a128bc3,E110 - Agias Fylaxeos,Agias Filaxeos,15,"LINESTRING(33.027167 34.704933, 33.027179 34.704929, 33.027245 34.704903, 33.027305 34.704868, 33.027356 34.704824, 33.027398 34.704774, 33.027428 34.704719, 33.027446 34.704661, 33.027450 34.704635, 33.027450 34.704574, 33.027448 34.704558, 33.027432 34.704499, 33.027404 34.704443, 33.027364 34.704392, 33.027314 34.704348)"
277c301a7f5b,,Agias Filaxeos,15,"LINESTRING(33.027314 34.704348, 33.027244 34.704212, 33.027229 34.704043, 33.027279 34.703892, 33.027356 34.703746, 33.027646 34.703353, 33.028096 34.702691, 33.028348 34.702360, 33.028601 34.702084, 33.028966 34.701754, 33.029728 34.701145, 33.030102 34.700797, 33.030475 34.700443, 33.031288 34.699642, 33.031502 34.699403)"
c7393b49e010,Agias Filaxeos,E147 - Archiepiskopou Makariou III Ave,25,"LINESTRING(33.031502 34.699403, 33.031685 34.699200, 33.032124 34.698673, 33.032764 34.697817, 33.033314 34.697029, 33.033377 34.696935, 33.033621 34.696503, 33.033755 34.696176, 33.033847 34.695969, 33.033917 34.695762, 33.034164 34.694855, 33.034272 34.694472, 33.034313 34.694355, 33.034528 34.693880, 33.034732 34.693399, 33.034970 34.692882, 33.035219 34.692347, 33.035254 34.692267, 33.035491 34.691634, 33.035680 34.691149, 33.035738 34.691018, 33.036193 34.689945, 33.036253 34.689803, 33.036539 34.689195, 33.036669 34.688919)"
2459eb632a9a,Exit 24 >E127 Germasogeia / E113 Lemesos-Centre,Lemesos,43,"LINESTRING(33.093173 34.706405, 33.092844 34.706448, 33.092124 34.706565, 33.090866 34.706822, 33.089542 34.707187, 33.086593 34.708061, 33.082454 34.709353, 33.081678 34.709572, 33.081074 34.709696, 33.080364 34.709797, 33.079668 34.709848, 33.079168 34.709857, 33.078667 34.709830, 33.078021 34.709763, 33.065625 34.707769, 33.055969 34.706223, 33.053586 34.705844, 33.052788 34.705707, 33.051975 34.705590, 33.051045 34.705480, 33.050391 34.705410, 33.049524 34.705335, 33.048906 34.705291, 33.047981 34.705243, 33.046951 34.705216, 33.045739 34.705210, 33.042906 34.705272, 33.040686 34.705290, 33.039618 34.705301, 33.038058 34.705277, 33.036328 34.705191, 33.032817 34.704960, 33.027809 34.704636, 33.027008 34.704553, 33.026239 34.704409, 33.025710 34.704272, 33.025235 34.704125, 33.024547 34.703889, 33.023973 34.703632, 33.023473 34.703380, 33.022580 34.702864, 33.021851 34.702304, 33.021309 34.701809)"
15ae2e1d5817,E147 - Archiepiskopou Makariou III Ave,Agias Filaxeos,16,"LINESTRING(33.037466 34.686767, 33.037446 34.686844, 33.037133 34.687652, 33.037069 34.687838, 33.036980 34.688093, 33.036841 34.688508, 33.036669 34.688919, 33.036539 34.689195, 33.036253 34.689803, 33.036193 34.689945, 33.035738 34.691018, 33.035680 34.691149, 33.035491 34.691634, 33.035254 34.692267, 33.035219 34.692347, 33.034970 34.692882)"
c774fd37f419,Agias Filaxeos,Agias Filaxeos,11,"LINESTRING(33.034970 34.692882, 33.034732 34.693399, 33.034528 34.693880, 33.034313 34.694355, 33.034272 34.694472, 33.034164 34.694855, 33.033917 34.695762, 33.033847 34.695969, 33.033755 34.696176, 33.033527 34.696477, 33.033275 34.696891)"
bbd3d4041441,Agias Filaxeos,Agias Filaxeos,30,"LINESTRING(33.033275 34.696891, 33.033216 34.696986, 33.032774 34.697622, 33.032627 34.697835, 33.032157 34.698459, 33.031964 34.698704, 33.031606 34.699147, 33.031043 34.698780, 33.030690 34.699207, 33.030096 34.698926, 33.028560 34.698516, 33.028217 34.699300, 33.028192 34.699396, 33.028203 34.699753, 33.028245 34.700248, 33.027588 34.700249, 33.027593 34.701072, 33.027572 34.701122, 33.027523 34.701161, 33.027450 34.701194, 33.027232 34.701252, 33.027269 34.701484, 33.027266 34.701659, 33.027236 34.702087, 33.027211 34.702281, 33.027102 34.702537, 33.026863 34.702861, 33.026971 34.702923, 33.027047 34.702974, 33.027552 34.703262)"
20d2c1f3b58e,E110 - Agias Fylaxeos,E147 - Archiepiskopou Makariou III Ave,53,"LINESTRING(33.027167 34.704933, 33.027179 34.704929, 33.027245 34.704903, 33.027305 34.704868, 33.027356 34.704824, 33.027398 34.704774, 33.027428 34.704719, 33.027446 34.704661, 33.027450 34.704635, 33.027450 34.704574, 33.027448 34.704558, 33.027432 34.704499, 33.027404 34.704443, 33.027364 34.704392, 33.027314 34.704348, 33.027244 34.704212, 33.027229 34.704043, 33.027279 34.703892, 33.027356 34.703746, 33.027646 34.703353, 33.028096 34.702691, 33.028348 34.702360, 33.028601 34.702084, 33.028966 34.701754, 33.029728 34.701145, 33.030102 34.700797, 33.030475 34.700443, 33.031288 34.699642, 33.031502 34.699403, 33.031685 34.699200, 33.032124 34.698673, 33.032764 34.697817, 33.033314 34.697029, 33.033377 34.696935, 33.033621 34.696503, 33.033755 34.696176, 33.033847 34.695969, 33.033917 34.695762, 33.034164 34.694855, 33.034272 34.694472, 33.034313 34.694355, 33.034528 34.693880, 33.034732 34.693399, 33.034970 34.692882, 33.035219 34.692347, 33.035254 34.692267, 33.035491 34.691634, 33.035680 34.691149, 33.035738 34.691018, 33.036193 34.689945, 33.036253 34.689803, 33.036539 34.689195, 33.036669 34.688919)"
